measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,1,Number,2016,38.85545397341924,44.5151652806033,30.74830509388273
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,2,Percent,2016,7.247312217680723e-07,1.1164861028372093e-06,1.419128943894598e-07
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,2,Percent,2016,7.058271557311361e-06,7.954883654195074e-06,5.928606718121895e-06
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,2,Percent,2016,3.622085525499644e-06,4.140017102141828e-06,2.8588184868321772e-06
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,3,Rate,2016,0.0006637166022619829,0.001056053339921924,0.00012592533619571744
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,3,Rate,2016,0.005418890342738477,0.006162819378830325,0.004497457571832842
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,3,Rate,2016,0.0030462496198233767,0.00348996836853788,0.0024106528974421576
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,1,Number,2017,6.970280607285798,8.071881826717503,1.8058816741833805
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,1,Number,2017,172.54850496878865,186.58031111650706,155.68110852068133
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,1,Number,2017,179.51878557607444,193.75107041133467,160.14265059108
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,2,Percent,2017,1.4862862266564868e-06,1.7215334314945258e-06,3.881897055447047e-07
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,2,Percent,2017,3.884394310810468e-05,4.1876359147173424e-05,3.503911577343766e-05
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,2,Percent,2017,1.965814374047229e-05,2.1214079453932715e-05,1.7545420526312332e-05
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,3,Rate,2017,0.0012980115684400205,0.0015031526821471743,0.00033629281751923983
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,3,Rate,2017,0.03196213969219012,0.03456133084895051,0.028837696037256794
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,3,Rate,2017,0.016670738966526467,0.017992398449819546,0.014871403663101409
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,1,Number,2016,6.975566746643459,8.07695483224495,1.8556839510400194
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,1,Number,2016,172.40313973852815,185.39654730379337,155.99209011459885
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,1,Number,2016,179.37870648517176,192.53709344002587,161.4422466714984
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,2,Percent,2016,1.5131927079217397e-06,1.7525223658584733e-06,4.0478181666375897e-07
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,2,Percent,2016,3.9357801111506725e-05,4.2257958759517475e-05,3.5673510066979656e-05
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,2,Percent,2016,1.9953063337899043e-05,2.1393897649802244e-05,1.793574021021763e-05
1,Deaths,44635,High SDI,1,Male,22,All ages,558,Mental disorders,3,Rate,2016,0.001306785309360392,0.0015131166115246468,0.00034763921185354833
1,Deaths,44635,High SDI,2,Female,22,All ages,558,Mental disorders,3,Rate,2016,0.032111511041672224,0.03453164069321892,0.0290548172830581
1,Deaths,44635,High SDI,3,Both,22,All ages,558,Mental disorders,3,Rate,2016,0.016753642284443208,0.017982611499360222,0.015078409825386458
